,datetime,cloudliness
214,2018-01-21,1.0
215,2018-01-23,1.0
216,2018-01-26,1.0
217,2018-01-28,1.0
218,2018-01-31,1.0
219,2018-02-02,1.0
220,2018-02-05,0.962
221,2018-02-07,0.0
222,2018-02-10,1.0
223,2018-02-12,0.012
224,2018-02-15,1.0
225,2018-02-17,1.0
226,2018-02-20,1.0
227,2018-02-22,0.0
228,2018-02-25,0.0
229,2018-02-27,0.016
230,2018-03-02,1.0
231,2018-03-04,1.0
232,2018-03-07,1.0
233,2018-03-09,1.0
234,2018-03-12,1.0
235,2018-03-14,0.002
236,2018-03-17,1.0
237,2018-03-19,0.0
238,2018-03-22,1.0
239,2018-03-24,1.0
240,2018-03-27,1.0
241,2018-03-29,1.0
242,2018-04-01,1.0
243,2018-04-03,1.0
244,2018-04-06,0.003
245,2018-04-08,1.0
246,2018-04-11,1.0
247,2018-04-13,1.0
248,2018-04-16,1.0
249,2018-04-18,0.001
250,2018-04-21,
251,2018-04-21,0.0
252,2018-04-23,0.923
253,2018-04-26,0.996
254,2018-04-28,1.0
255,2018-05-01,1.0
256,2018-05-03,0.653
257,2018-05-06,0.0
258,2018-05-08,0.0
259,2018-05-11,0.088
260,2018-05-13,1.0
261,2018-05-16,1.0
262,2018-05-18,0.985
263,2018-05-21,0.0
264,2018-05-23,1.0
265,2018-05-26,0.001
266,2018-05-28,0.001
267,2018-05-31,1.0
268,2018-06-02,1.0
269,2018-06-05,1.0
270,2018-06-07,0.003
271,2018-06-10,0.5
272,2018-06-12,1.0
273,2018-06-15,1.0
274,2018-06-17,1.0
275,2018-06-20,1.0
276,2018-06-22,1.0
277,2018-06-25,0.751
278,2018-06-27,0.0
279,2018-06-30,0.0
280,2018-07-02,0.001
281,2018-07-05,0.03
282,2018-07-07,0.113
283,2018-07-10,1.0
284,2018-07-12,0.008
285,2018-07-15,0.69
286,2018-07-17,0.504
287,2018-07-20,1.0
288,2018-07-22,1.0
289,2018-07-25,1.0
290,2018-07-27,0.0
291,2018-07-30,0.612
292,2018-08-01,1.0
293,2018-08-04,0.301
294,2018-08-06,0.0
295,2018-08-09,
296,2018-08-09,
297,2018-08-11,1.0
298,2018-08-14,0.894
299,2018-08-16,1.0
300,2018-08-19,1.0
301,2018-08-21,0.992
302,2018-08-24,1.0
303,2018-08-26,0.971
304,2018-08-29,1.0
305,2018-08-31,1.0
306,2018-09-03,1.0
307,2018-09-05,1.0
308,2018-09-08,1.0
309,2018-09-10,1.0
310,2018-09-13,0.001
311,2018-09-18,0.0
312,2018-09-20,0.993
313,2018-09-23,1.0
314,2018-09-25,0.916
315,2018-09-28,1.0
316,2018-09-30,0.048
317,2018-10-03,1.0
318,2018-10-05,0.0
319,2018-10-08,0.613
320,2018-10-10,0.0
321,2018-10-13,0.0
322,2018-10-15,0.118
323,2018-10-18,1.0
324,2018-10-20,1.0
325,2018-10-23,1.0
326,2018-10-25,1.0
327,2018-10-28,1.0
328,2018-10-30,1.0
329,2018-11-02,0.998
330,2018-11-04,0.913
331,2018-11-07,1.0
332,2018-11-09,1.0
333,2018-11-12,1.0
334,2018-11-14,1.0
335,2018-11-17,0.026
336,2018-11-19,1.0
337,2018-11-22,1.0
338,2018-11-24,1.0
339,2018-11-27,1.0
340,2018-11-29,1.0
341,2018-12-02,1.0
342,2018-12-04,0.016
343,2018-12-07,1.0
344,2018-12-09,1.0
345,2018-12-12,1.0
346,2018-12-14,0.974
347,2018-12-17,1.0
348,2018-12-19,1.0
349,2018-12-22,1.0
350,2018-12-24,0.0
351,2018-12-27,1.0
352,2018-12-29,1.0
353,2019-01-01,1.0
354,2019-01-03,0.177
355,2019-01-06,1.0
356,2019-01-08,1.0
357,2019-01-11,1.0
358,2019-01-13,1.0
359,2019-01-16,1.0
360,2019-01-18,0.001
361,2019-01-21,0.0
362,2019-01-23,1.0
363,2019-01-26,1.0
364,2019-01-28,1.0
365,2019-01-31,1.0
366,2019-02-02,1.0
367,2019-02-05,1.0
368,2019-02-07,0.492
369,2019-02-10,
370,2019-02-10,1.0
371,2019-02-12,1.0
372,2019-02-15,0.0
373,2019-02-17,1.0
374,2019-02-20,1.0
375,2019-02-22,1.0
376,2019-02-25,0.0
377,2019-02-27,0.0
378,2019-03-02,1.0
379,2019-03-04,1.0
380,2019-03-07,0.998
381,2019-03-09,1.0
382,2019-03-12,1.0
383,2019-03-14,1.0
384,2019-03-17,1.0
385,2019-03-19,0.9
386,2019-03-22,0.013
387,2019-03-24,1.0
388,2019-03-27,1.0
389,2019-03-29,0.0
390,2019-04-01,0.0
391,2019-04-03,1.0
392,2019-04-06,1.0
393,2019-04-08,0.0
394,2019-04-11,0.679
395,2019-04-13,0.93
396,2019-04-16,0.0
397,2019-04-18,0.0
398,2019-04-21,0.0
399,2019-04-23,1.0
400,2019-04-26,1.0
401,2019-04-28,1.0
402,2019-05-01,0.93
403,2019-05-03,1.0
404,2019-05-06,1.0
405,2019-05-08,1.0
406,2019-05-11,0.432
407,2019-05-13,0.0
408,2019-05-16,1.0
409,2019-05-18,0.903
410,2019-05-23,1.0
411,2019-05-26,1.0
412,2019-05-28,1.0
413,2019-05-31,0.993
414,2019-06-02,1.0
415,2019-06-05,1.0
416,2019-06-07,0.092
417,2019-06-10,1.0
418,2019-06-12,1.0
419,2019-06-15,1.0
420,2019-06-17,0.661
421,2019-06-20,0.999
422,2019-06-22,1.0
423,2019-06-25,0.302
424,2019-06-27,0.001
425,2019-06-30,0.802
426,2019-07-02,0.887
427,2019-07-05,0.999
428,2019-07-07,0.659
429,2019-07-10,1.0
430,2019-07-12,1.0
431,2019-07-15,1.0
432,2019-07-17,0.618
433,2019-07-20,1.0
434,2019-07-22,0.001
435,2019-07-25,0.0
436,2019-07-27,1.0
437,2019-07-30,0.0
438,2019-08-01,1.0
439,2019-08-04,0.942
440,2019-08-06,1.0
441,2019-08-09,1.0
442,2019-08-11,1.0
443,2019-08-14,0.266
444,2019-08-16,0.989
445,2019-08-19,0.886
446,2019-08-21,0.521
447,2019-08-24,0.0
448,2019-08-26,0.0
449,2019-08-29,1.0
450,2019-08-31,0.0
451,2019-09-03,1.0
452,2019-09-05,0.999
453,2019-09-08,0.84
454,2019-09-10,0.039
455,2019-09-13,1.0
456,2019-09-15,0.0
457,2019-09-18,0.976
458,2019-09-20,0.666
459,2019-09-25,1.0
460,2019-09-28,1.0
461,2019-09-30,1.0
462,2019-10-03,1.0
463,2019-10-05,1.0
464,2019-10-08,1.0
465,2019-10-10,1.0
466,2019-10-13,0.015
467,2019-10-15,1.0
468,2019-10-18,1.0
469,2019-10-20,1.0
470,2019-10-23,1.0
471,2019-10-25,1.0
472,2019-10-28,0.994
473,2019-10-30,1.0
474,2019-11-02,1.0
475,2019-11-04,1.0
476,2019-11-07,1.0
477,2019-11-09,0.999
478,2019-11-12,1.0
479,2019-11-14,1.0
480,2019-11-17,0.001
481,2019-11-19,1.0
482,2019-11-22,0.0
483,2019-11-24,0.272
484,2019-11-27,1.0
485,2019-11-29,0.999
486,2019-12-02,0.282
487,2019-12-04,0.0
488,2019-12-07,1.0
489,2019-12-09,1.0
490,2019-12-12,0.489
491,2019-12-14,0.989
492,2019-12-17,1.0
493,2019-12-19,1.0
494,2019-12-22,1.0
495,2019-12-24,1.0
496,2019-12-27,0.228
497,2019-12-29,1.0
498,2020-01-01,1.0
499,2020-01-03,1.0
500,2020-01-06,1.0
501,2020-01-08,1.0
502,2020-01-11,1.0
503,2020-01-13,0.011
504,2020-01-16,1.0
505,2020-01-18,0.007
506,2020-01-21,1.0
507,2020-01-23,1.0
508,2020-01-26,0.0
509,2020-01-26,0.003
510,2020-01-28,1.0
511,2020-01-31,1.0
512,2020-02-02,1.0
513,2020-02-05,0.852
514,2020-02-07,0.0
515,2020-02-10,1.0
516,2020-02-12,1.0
517,2020-02-15,1.0
518,2020-02-17,0.065
